Iteration nr 1, train_score: 0.5322536330019839, test_score: 0.6275329389209808, losses : 31044.146810152946
Iteration nr 2, train_score: 0.574633419688047, test_score: 0.6368913636652096, losses : 27329.306323611156
Iteration nr 3, train_score: 0.5470300983856817, test_score: 0.6358498231270701, losses : 25374.764527319647
Iteration nr 4, train_score: 0.6003250325716237, test_score: 0.6578328041294652, losses : 25048.271090570324
Iteration nr 5, train_score: 0.5906518506271949, test_score: 0.6442079213128052, losses : 24099.324736239127
Iteration nr 6, train_score: 0.6066901590356057, test_score: 0.6504674331282114, losses : 23986.33071765292
Iteration nr 7, train_score: 0.6214217762460172, test_score: 0.6546691682945603, losses : 22932.602674049558
Iteration nr 8, train_score: 0.6040087510871919, test_score: 0.6576049769420083, losses : 22374.59387362939
Iteration nr 9, train_score: 0.6145146896018986, test_score: 0.6538444996884941, losses : 21312.336915577343
Iteration nr 10, train_score: 0.590438133780776, test_score: 0.644595618873944, losses : 21901.09166140864
Iteration nr 11, train_score: 0.6071498269560097, test_score: 0.6498523742651795, losses : 20463.948105714604
Iteration nr 12, train_score: 0.5952974377989612, test_score: 0.6446898584906393, losses : 21749.12541445237
Iteration nr 13, train_score: 0.5879667599188718, test_score: 0.6407878972300461, losses : 20204.22892974973
Iteration nr 14, train_score: 0.6314212346616733, test_score: 0.6543060442882622, losses : 20286.675740656894
Iteration nr 15, train_score: 0.6331999930629455, test_score: 0.6545898747455953, losses : 18664.47791070029
Iteration nr 16, train_score: 0.6445783456613267, test_score: 0.6590279298548131, losses : 19411.359005136408
Iteration nr 17, train_score: 0.6441950739922103, test_score: 0.6499508319579834, losses : 19868.25659642769
Iteration nr 18, train_score: 0.6348594126984317, test_score: 0.6470089119213525, losses : 19595.914615809772
Iteration nr 19, train_score: 0.6127627118242607, test_score: 0.6524454043336788, losses : 18833.08654332493
Iteration nr 20, train_score: 0.6458322921347023, test_score: 0.6601433216320999, losses : 18643.190997534122
Iteration nr 21, train_score: 0.6288897766477719, test_score: 0.6493875280182138, losses : 18731.551513768954
Iteration nr 22, train_score: 0.6562722207556758, test_score: 0.6597097283723569, losses : 18636.78935039318
Iteration nr 23, train_score: 0.6317849791889296, test_score: 0.6563141129408652, losses : 18244.82764435272
Iteration nr 24, train_score: 0.6300807660511272, test_score: 0.6512631904403404, losses : 18272.28308835659
Iteration nr 25, train_score: 0.6380795625213402, test_score: 0.6538098628767128, losses : 17271.4067664406
Iteration nr 26, train_score: 0.64879838409462, test_score: 0.6476864939419049, losses : 17725.45807145938
Iteration nr 27, train_score: 0.6474525846688399, test_score: 0.6555479743735161, losses : 17637.505037166673
Iteration nr 28, train_score: 0.6556170268230874, test_score: 0.6585937534510127, losses : 18795.68182220216
Iteration nr 29, train_score: 0.6434187191432725, test_score: 0.6587612919797415, losses : 17862.5485196936
Iteration nr 30, train_score: 0.6294994912607529, test_score: 0.6486365166053955, losses : 17410.704275748856
Iteration nr 31, train_score: 0.6579013173780403, test_score: 0.6552750201977736, losses : 17815.59739488126
Iteration nr 32, train_score: 0.65375221075558, test_score: 0.6571851576028529, losses : 17520.26237211564
Iteration nr 33, train_score: 0.653789474912576, test_score: 0.649657341475546, losses : 17414.542242300042
Iteration nr 34, train_score: 0.6474584709910282, test_score: 0.6504475958713379, losses : 17522.155903877087
Iteration nr 35, train_score: 0.6609544201483856, test_score: 0.6557459220001627, losses : 17149.233524112977
Iteration nr 36, train_score: 0.6704260906618354, test_score: 0.6533751041016435, losses : 17070.782649140023
Iteration nr 37, train_score: 0.6700155315492722, test_score: 0.6507218851464296, losses : 16660.369832577435
Iteration nr 38, train_score: 0.6422436106425419, test_score: 0.6392539497764512, losses : 16621.424788895296
Iteration nr 39, train_score: 0.6508491742627946, test_score: 0.6420407343981975, losses : 16695.246992249995
Iteration nr 40, train_score: 0.6591168417653699, test_score: 0.6449117068388068, losses : 16313.06308791013
Iteration nr 41, train_score: 0.6692562061892582, test_score: 0.6514798721389693, losses : 16557.569114459908
Iteration nr 42, train_score: 0.668807213643384, test_score: 0.6505957061270357, losses : 15959.547372206132
Iteration nr 43, train_score: 0.6802941185830176, test_score: 0.6536171121580404, losses : 16424.319714311394
Iteration nr 44, train_score: 0.68124181756282, test_score: 0.6457897298020936, losses : 15846.462708248695
Iteration nr 45, train_score: 0.6840561174969121, test_score: 0.654528128804901, losses : 16258.375859691496
Iteration nr 46, train_score: 0.6685968532318408, test_score: 0.6500284992470533, losses : 16731.856885751815
Iteration nr 47, train_score: 0.671280101445253, test_score: 0.6473397788204757, losses : 17113.038905821813
Iteration nr 48, train_score: 0.68431060582111, test_score: 0.658626356327134, losses : 16302.633670253981
Iteration nr 49, train_score: 0.6631382109228106, test_score: 0.6512936241623872, losses : 15847.968213054275
Iteration nr 50, train_score: 0.6801155072741065, test_score: 0.6483305006384696, losses : 16378.129249607415
Iteration nr 51, train_score: 0.6897673335466115, test_score: 0.6499512957763133, losses : 15689.596838695601
Iteration nr 52, train_score: 0.701495393090111, test_score: 0.653263585199893, losses : 15914.49662277729
Iteration nr 53, train_score: 0.6930859011583264, test_score: 0.6437964711382177, losses : 15579.593999769168
Iteration nr 54, train_score: 0.7114567221722327, test_score: 0.6445740627031121, losses : 16013.575050397312
Iteration nr 55, train_score: 0.690863136735631, test_score: 0.648582986500526, losses : 16064.802454179182
Iteration nr 56, train_score: 0.7105241413224055, test_score: 0.6435176286054783, losses : 15730.758041969113
Iteration nr 57, train_score: 0.707987347626903, test_score: 0.6565371463592277, losses : 16009.392423377836
Iteration nr 58, train_score: 0.7178126139070704, test_score: 0.6495698064360073, losses : 15970.112961152568
Iteration nr 59, train_score: 0.7131909690020475, test_score: 0.6486623667718866, losses : 16044.903687673934
Iteration nr 60, train_score: 0.7066700994710028, test_score: 0.6481099828243754, losses : 15928.041933174994
Iteration nr 61, train_score: 0.7072219552867548, test_score: 0.6562007515084262, losses : 15147.642377464043
Iteration nr 62, train_score: 0.711439391396465, test_score: 0.6499044145991086, losses : 15538.446110285999
Iteration nr 63, train_score: 0.7171902386832745, test_score: 0.6480763356578103, losses : 15323.723545668212
Iteration nr 64, train_score: 0.7041047604211053, test_score: 0.650435133715497, losses : 15848.973610995623
Iteration nr 65, train_score: 0.7061720993168785, test_score: 0.647748016580989, losses : 15340.717663106667
Iteration nr 66, train_score: 0.6852830141547976, test_score: 0.649438724686784, losses : 15143.030891224114
Iteration nr 67, train_score: 0.7075487930012887, test_score: 0.6486140527334392, losses : 15662.536941183935
Iteration nr 68, train_score: 0.7293649384490382, test_score: 0.6577024294319546, losses : 15101.20512305591
Iteration nr 69, train_score: 0.7256470937911629, test_score: 0.6582882651083912, losses : 15359.166411945536
Iteration nr 70, train_score: 0.7147186478147254, test_score: 0.6530710708836933, losses : 15534.209145541789
Iteration nr 71, train_score: 0.7243437081766173, test_score: 0.6512095270793496, losses : 15529.256124148133
Iteration nr 72, train_score: 0.7046794928912984, test_score: 0.65325798906185, losses : 15204.87378921612
